,upper_arm_link_x,upper_arm_link_y,upper_arm_link_z,shoulder_link_x,shoulder_link_y,shoulder_link_z,forearm_link_x,forearm_link_y,forearm_link_z,wrist_1_link_x,wrist_1_link_y,wrist_1_link_z,wrist_2_link_x,wrist_2_link_y,wrist_2_link_z,wrist_3_link_x,wrist_3_link_y,wrist_3_link_z,distance
708,0.0,0.0,0.089159,0.0,0.0,0.089159,0.004413650769294128,0.18021967062043284,0.4740309137691777,0.10465025041231038,-0.1850716571399067,0.6233247681473595,0.10233295268579344,-0.2796923371139338,0.6229010317912821,0.11081712475392275,-0.27953352101985296,0.5410396636023332,2.9528624273198008e-05
709,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.008595039612744163,0.1932338461646621,0.4675923573966056,0.11667778519389872,-0.16681351182190887,0.6105832814857034,0.120883576079073,-0.2613681831155067,0.6099934004893564,0.12925957001242516,-0.2604848846399675,0.5281255037933282,2.9528624273168078e-05
710,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.02146518600824139,0.20122545329011815,0.4628869260877063,0.12604417996933698,-0.15256936697322138,0.6001603652655899,0.13608350935082003,-0.24668309146846817,0.5994961159126484,0.1443232542204564,-0.24522628002092786,0.5176225896365094,2.9528624273086766e-05
711,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.050137410425623266,0.20970537104732423,0.4554033138530844,0.14242759050355594,-0.1263205246618121,0.5810182127704415,0.16443613340629687,-0.2183737362967172,0.5803453331396191,0.17230026844732843,-0.21589497963723625,0.49845942992374503,2.952862427405186e-05
712,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.06942739773310151,0.2092596781118031,0.45249799262335477,0.15210869043987854,-0.11184681012179964,0.5690577191642867,0.18191307710672175,-0.2016795931601996,0.5684315187258727,0.18947185286113558,-0.1986009072395659,0.48653721732402544,2.9528624273120034e-05
713,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.09157664005535236,0.20378630444264328,0.45069718763414585,0.16286882132992417,-0.0961432279444664,0.555928208642609,0.20166447112015345,-0.18247552941092077,0.5554244419712994,0.20882879769671284,-0.1787781266112264,0.4735202806774967,2.9528624273168078e-05
714,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.11279863704936752,0.19285844476852385,0.45069335211784683,0.1739291152862696,-0.08118058901595757,0.542691118411499,0.2217142856783422,-0.1628816971429644,0.5423320621210497,0.228418845998913,-0.1586003534098154,0.4604174177236866,2.9528624274012827e-05
715,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.1389043535014583,0.16631517160537837,0.4547678678796173,0.1925859763949084,-0.060315641299064554,0.5220465482135052,0.2532587946056758,-0.1329613857646346,0.5218808937349526,0.2591329470291969,-0.12786853712313576,0.43994892667678875,2.9528624274032556e-05
716,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.1504232149281492,0.14352572564360094,0.45983166218208976,0.20657096392977187,-0.04623499103975732,0.5079960854151869,0.27505021281272857,-0.11157420007735368,0.5079437904120411,0.2802947827779048,-0.10601200412583538,0.42599962367591954,2.952862427403314e-05
717,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.15505043075849267,0.12022768232996033,0.46615988636921263,0.2209860915572222,-0.03323542882818472,0.4947849173450146,0.295784017340234,-0.09123450185545005,0.49476684701011303,0.3003781881071684,-0.08528414094442156,0.41281090274740107,2.9528624273147762e-05
